ID,Title,Trailer ID,SentimentScore
170,Hereafter,toJPUHh3EKI,0.5483870967741935
171,Paranormal Activity 2,ftD6rIAR-Hw,0.4
172,Saw 3D,WXgdG7zl31k,0.52
173,The Girl Who Kicked the Hornets' Nest,daAePcTW9zw,0.51
174,Crayon,AXl-3Vjq47g,0.5882352941176471
175,Due Date,1p3NnJ_oiE0,0.54
177,For Colored Girls,LNdIMakUhVQ,0.65
180,127 Hours,OlhLOWTnVoQ,0.6
181,Guy and Madeline on a Park Bench,3xT8QGWHxRk,0.5
182,Five Minarets in New York,fQTUcCIU_yw,0.45
183,Morning Glory,8l6-XZZIvGo,0.7333333333333333
184,Skyline,mnoW5-DmIUM,0.59
185,Unstoppable,fyuoIqeL-bc,0.72
186,Harry Potter and the Deathly Hallows – Part 1,MxqsmsA8y5k,0.56
187,The Next Three Days,p4z8XM6oTm8,0.7333333333333333
188,Burlesque,_KqN85L-Vzk,0.7
189,Faster,XDBeFAlgjio,0.66
190,Love & Other Drugs,h6w7Dh-QxzY,0.83
192,The Nutcracker in 3D,dgv6W7xkomk,0.0
193,The King's Speech,EcxBrTvLbBM,0.76
194,Black Swan,5jaI1XOB-bs,0.75
195,I Love You Phillip Morris,wzWB9KHgaiE,0.5
196,The Warrior's Way,Kq64CHaV8yA,0.5157894736842106
197,The Chronicles of Narnia: The Voyage of the Dawn Treader,AON1-Ox-Llc,0.3571428571428571
198,The Tourist,5R0vcopCNG0,0.5254237288135594
199,The Tempest,opjhs1mgd1s,0.6538461538461539
200,The Fighter,LRIZ4mCi5Ps,0.63
201,How Do You Know,8u_gSd9eIO8,0.6
202,Tron: Legacy,L9szn1QQfas,0.78
203,Yogi Bear,9iyYTz0Bh0Y,0.4788732394366197
204,Casino Jack,Lg12GW49TOQ,0.8
205,Rabbit Hole,8V5904uauqg,0.52
206,Little Fockers,CIUpb2aQ5rM,0.4150943396226415
207,True Grit,Q5fEgKj9QNs,0.6923076923076923
208,Somewhere,iEga7Hz9a3U,0.65
209,Country Strong,UhHRlpLuU7A,0.5846153846153846
210,Gulliver's Travels,J-wXbyEQ5TM,0.59
211,The Illusionist,BMqpU7lUlLg,0.72
212,Another Year,HrlQBsd8LsE,0.83
213,Biutiful,3WzJcwGA6YM,0.6206896551724138
214,Blue Valentine,aILx69WrRhQ,0.68
215,Barney's Version,Eo-0k5rkUeo,1.0
216,The Green Hornet,PMA-taGtfXs,0.72
217,No Strings Attached,uyeRTTTDVQI,0.6060606060606061
218,The Mechanic,39L8egLr518,0.42
219,The Rite,nPtuzw1PXgU,0.59
220,The Roommate,7NX30f8b1Oo,0.56
221,Sanctum,OgW7L2uq2VM,0.62
222,Waiting for Forever,4YM3qJWiq-E,0.5
